iso,id_1,name_1,id_2,name_2,year,month,nlsum,area
AFG,1,Badakhshan,1,Baharak,2013,1,4403.26,3003.881
AFG,1,Badakhshan,1,Baharak,2013,2,2961.64,3003.881
AFG,1,Badakhshan,1,Baharak,2013,3,5295.34,3003.881
AFG,1,Badakhshan,1,Baharak,2013,4,3081.37,3003.881
AFG,1,Badakhshan,1,Baharak,2013,5,2535.59,3003.881
AFG,1,Badakhshan,1,Baharak,2013,6,0.0,3003.881
AFG,1,Badakhshan,1,Baharak,2013,7,2.85,3003.881
AFG,1,Badakhshan,1,Baharak,2013,8,2259.3,3003.881
AFG,1,Badakhshan,1,Baharak,2013,9,1540.88,3003.881
AFG,1,Badakhshan,1,Baharak,2013,10,5188.53,3003.881
AFG,1,Badakhshan,1,Baharak,2013,11,5710.99,3003.881
AFG,1,Badakhshan,1,Baharak,2013,12,5496.92,3003.881
AFG,1,Badakhshan,1,Baharak,2014,1,4614.5,3003.881
AFG,1,Badakhshan,1,Baharak,2014,2,5096.46,3003.881
AFG,1,Badakhshan,1,Baharak,2014,3,2972.2,3003.881
AFG,1,Badakhshan,1,Baharak,2014,4,2094.23,3003.881
AFG,1,Badakhshan,1,Baharak,2014,5,3388.8,3003.881
AFG,1,Badakhshan,1,Baharak,2014,6,0.0,3003.881
AFG,1,Badakhshan,1,Baharak,2014,7,2615.27,3003.881
AFG,1,Badakhshan,1,Baharak,2014,8,3331.02,3003.881
AFG,1,Badakhshan,1,Baharak,2014,9,2536.07,3003.881
AFG,1,Badakhshan,1,Baharak,2014,10,4131.91,3003.881
AFG,1,Badakhshan,1,Baharak,2014,11,1427.2,3003.881
AFG,1,Badakhshan,1,Baharak,2014,12,8964.11,3003.881
AFG,1,Badakhshan,1,Baharak,2015,1,5932.84,3003.881
AFG,1,Badakhshan,1,Baharak,2015,2,5509.0,3003.881
AFG,1,Badakhshan,1,Baharak,2015,3,4901.48,3003.881
AFG,1,Badakhshan,1,Baharak,2015,4,1644.27,3003.881
AFG,1,Badakhshan,1,Baharak,2015,5,3343.68,3003.881
AFG,1,Badakhshan,1,Baharak,2015,6,0.0,3003.881
AFG,1,Badakhshan,1,Baharak,2015,7,545.13,3003.881
AFG,1,Badakhshan,1,Baharak,2015,8,858.91,3003.881
AFG,1,Badakhshan,1,Baharak,2015,9,1471.18,3003.881
AFG,1,Badakhshan,1,Baharak,2015,10,1691.02,3003.881
AFG,1,Badakhshan,1,Baharak,2015,11,5399.7,3003.881
AFG,1,Badakhshan,1,Baharak,2015,12,4221.36,3003.881
AFG,1,Badakhshan,1,Baharak,2016,1,2948.45,3003.881
AFG,1,Badakhshan,1,Baharak,2016,2,2534.31,3003.881
AFG,1,Badakhshan,1,Baharak,2016,3,2400.01,3003.881
AFG,1,Badakhshan,1,Baharak,2016,4,1642.48,3003.881
AFG,1,Badakhshan,1,Baharak,2016,5,2170.59,3003.881
AFG,1,Badakhshan,1,Baharak,2016,6,0.0,3003.881
AFG,1,Badakhshan,1,Baharak,2016,7,1403.04,3003.881
AFG,1,Badakhshan,1,Baharak,2016,8,564.61999,3003.881
AFG,1,Badakhshan,1,Baharak,2016,9,1850.25,3003.881
AFG,1,Badakhshan,1,Baharak,2016,10,3936.34,3003.881
AFG,1,Badakhshan,1,Baharak,2016,11,2531.83,3003.881
AFG,1,Badakhshan,1,Baharak,2016,12,4969.43,3003.881
AFG,1,Badakhshan,1,Baharak,2017,1,5998.48,3003.881
AFG,1,Badakhshan,1,Baharak,2017,2,7362.68,3003.881
AFG,1,Badakhshan,1,Baharak,2017,3,6360.17,3003.881
AFG,1,Badakhshan,1,Baharak,2017,4,4982.8,3003.881
AFG,1,Badakhshan,1,Baharak,2017,5,4785.11,3003.881
AFG,1,Badakhshan,1,Baharak,2017,6,0.0,3003.881
AFG,1,Badakhshan,1,Baharak,2017,7,5000.37,3003.881
AFG,1,Badakhshan,1,Baharak,2017,8,5495.83,3003.881
AFG,1,Badakhshan,1,Baharak,2017,9,4836.07,3003.881
AFG,1,Badakhshan,1,Baharak,2017,10,8036.47,3003.881
AFG,1,Badakhshan,1,Baharak,2017,11,7034.5,3003.881
AFG,1,Badakhshan,1,Baharak,2017,12,7611.56,3003.881
AFG,1,Badakhshan,1,Baharak,2018,1,5067.07,3003.881
AFG,1,Badakhshan,1,Baharak,2018,2,5167.45,3003.881
AFG,1,Badakhshan,1,Baharak,2018,3,5741.84,3003.881
AFG,1,Badakhshan,1,Baharak,2018,4,4771.44,3003.881
AFG,1,Badakhshan,1,Baharak,2018,5,5732.18,3003.881
AFG,1,Badakhshan,1,Baharak,2018,6,0.0,3003.881
AFG,1,Badakhshan,1,Baharak,2018,7,716.58,3003.881
AFG,1,Badakhshan,1,Baharak,2018,8,4799.02,3003.881
AFG,1,Badakhshan,1,Baharak,2018,9,4462.61,3003.881
AFG,1,Badakhshan,1,Baharak,2018,10,6728.8,3003.881
AFG,1,Badakhshan,1,Baharak,2018,11,8807.51,3003.881
AFG,1,Badakhshan,1,Baharak,2018,12,4780.23,3003.881
AFG,1,Badakhshan,1,Baharak,2019,1,7625.06,3003.881
AFG,1,Badakhshan,1,Baharak,2019,2,4858.54,3003.881
AFG,1,Badakhshan,1,Baharak,2019,3,6037.25,3003.881
AFG,1,Badakhshan,1,Baharak,2019,4,4666.75,3003.881
AFG,1,Badakhshan,1,Baharak,2019,5,5019.08,3003.881
AFG,1,Badakhshan,1,Baharak,2019,6,0.0,3003.881
AFG,1,Badakhshan,1,Baharak,2019,7,3208.34,3003.881
AFG,1,Badakhshan,1,Baharak,2019,8,3645.95,3003.881
AFG,1,Badakhshan,1,Baharak,2019,9,4192.39,3003.881
AFG,1,Badakhshan,1,Baharak,2019,10,6798.88,3003.881
AFG,1,Badakhshan,1,Baharak,2019,11,7293.71,3003.881
AFG,1,Badakhshan,1,Baharak,2019,12,6574.49,3003.881
AFG,1,Badakhshan,1,Baharak,2020,1,4732.83,3003.881
AFG,1,Badakhshan,1,Baharak,2020,2,6595.45,3003.881
AFG,1,Badakhshan,1,Baharak,2020,3,5115.07,3003.881
AFG,1,Badakhshan,1,Baharak,2020,4,5044.5,3003.881
AFG,1,Badakhshan,1,Baharak,2020,5,3578.56,3003.881
AFG,1,Badakhshan,1,Baharak,2020,6,0.0,3003.881
AFG,1,Badakhshan,1,Baharak,2020,7,4647.45,3003.881
AFG,1,Badakhshan,1,Baharak,2020,8,4735.57,3003.881
AFG,1,Badakhshan,1,Baharak,2020,9,5319.3,3003.881
AFG,1,Badakhshan,1,Baharak,2020,10,6251.07,3003.881
AFG,1,Badakhshan,1,Baharak,2020,11,9462.97,3003.881
AFG,1,Badakhshan,1,Baharak,2020,12,7211.31,3003.881
AFG,1,Badakhshan,1,Baharak,2021,1,6748.14,3003.881
AFG,1,Badakhshan,1,Baharak,2021,2,7012.98,3003.881
AFG,1,Badakhshan,1,Baharak,2021,3,5773.8,3003.881
AFG,1,Badakhshan,1,Baharak,2021,4,5901.5,3003.881
AFG,1,Badakhshan,1,Baharak,2021,5,6345.19,3003.881
AFG,1,Badakhshan,1,Baharak,2021,6,0.0,3003.881
AFG,1,Badakhshan,1,Baharak,2021,7,630.6,3003.881
AFG,1,Badakhshan,1,Baharak,2021,8,7338.56,3003.881
AFG,1,Badakhshan,1,Baharak,2021,9,5029.66,3003.881
AFG,1,Badakhshan,1,Baharak,2021,10,7881.95,3003.881
AFG,1,Badakhshan,1,Baharak,2021,11,8073.86,3003.881
AFG,1,Badakhshan,1,Baharak,2021,12,8041.84,3003.881
AFG,1,,1,,2022,1,7333.6,3003.881
AFG,1,,1,,2022,2,7896.04,3003.881
AFG,1,,1,,2022,3,6972.49,3003.881
AFG,1,,1,,2022,4,6865.04,3003.881
AFG,1,,1,,2022,5,6556.62,3003.881
AFG,1,,1,,2022,6,0.0,3003.881
AFG,1,,1,,2022,7,0.0,3003.881
AFG,1,,1,,2022,8,4068.87,3003.881
AFG,1,,1,,2022,9,6609.19,3003.881
AFG,1,,1,,2022,10,7174.81,3003.881
AFG,1,,1,,2022,11,7511.84,3003.881
AFG,1,,1,,2022,12,9126.86,3003.881
AFG,1,,1,,2023,1,10468.38,3003.881
AFG,1,,1,,2023,2,8401.77,3003.881
AFG,1,,1,,2023,3,6755.81,3003.881
AFG,1,,1,,2023,4,6371.14,3003.881
AFG,1,,1,,2023,5,6622.23,3003.881
AFG,1,,1,,2023,6,0.0,3003.881
AFG,1,,1,,2023,7,5312.53,3003.881
AFG,1,,1,,2023,8,7180.39,3003.881
AFG,1,,1,,2023,9,7245.28,3003.881
AFG,1,,1,,2023,10,7651.46,3003.881
AFG,1,,1,,2023,11,9436.69,3003.881
AFG,1,,1,,2023,12,8457.1,3003.881
AFG,1,,1,,2024,1,9463.59,3003.881
AFG,1,,1,,2024,2,8403.47,3003.881
AFG,1,,1,,2024,3,10263.75,3003.881
AFG,1,,1,,2024,4,7605.22,3003.881
AFG,1,,1,,2024,5,5745.16,3003.881
AFG,1,Badakhshan,2,Darwaz,2013,1,4548.62,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,2,2869.73,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,3,6489.46,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,4,2853.6,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,5,2610.71,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,6,0.0,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,7,0.0,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,8,1703.17,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,9,1212.17,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,10,4649.68,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,11,5250.56,2920.605
AFG,1,Badakhshan,2,Darwaz,2013,12,5099.42,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,1,4726.2,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,2,5475.56,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,3,3826.66,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,4,1590.25,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,5,3068.63,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,6,0.0,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,7,539.74,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,8,3310.31,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,9,2282.93,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,10,4306.01,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,11,1788.47,2920.605
AFG,1,Badakhshan,2,Darwaz,2014,12,10097.55,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,1,6592.97,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,2,5574.99,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,3,4693.25,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,4,2255.68,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,5,0.0,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,6,0.0,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,7,0.0,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,8,916.4,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,9,1094.61,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,10,1509.38,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,11,5826.99,2920.605
AFG,1,Badakhshan,2,Darwaz,2015,12,4028.17,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,1,2850.28,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,2,3143.94,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,3,2437.78,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,4,1539.67,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,5,2238.87,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,6,0.0,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,7,1663.12,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,8,536.01999,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,9,1709.37,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,10,4054.1,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,11,3365.94,2920.605
AFG,1,Badakhshan,2,Darwaz,2016,12,5764.68,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,1,7622.54,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,2,7372.94,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,3,6894.96,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,4,4692.46,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,5,3837.0,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,6,0.0,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,7,5293.73,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,8,5372.04,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,9,4508.67,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,10,7660.18,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,11,7107.69,2920.605
AFG,1,Badakhshan,2,Darwaz,2017,12,6830.31,2920.605
AFG,1,Badakhshan,2,Darwaz,2018,1,5346.38,2920.605
AFG,1,Badakhshan,2,Darwaz,2018,2,5325.82,2920.605
AFG,1,Badakhshan,2,Darwaz,2018,3,5848.44,2920.605
