iso,id_1,name_1,id_2,name_2,year,month,nlsum,area,date,nl_density,nl_density_clipped
AFG,1,Badakhshan,1,Baharak,2013,1,4403.26,3003.881,2013-01-01,1.4658570029904647,1.4658570029904647
AFG,1,Badakhshan,1,Baharak,2013,2,2961.64,3003.881,2013-02-01,0.9859378583905288,0.9859378583905288
AFG,1,Badakhshan,1,Baharak,2013,3,5295.34,3003.881,2013-03-01,1.762832815281298,1.762832815281298
AFG,1,Badakhshan,1,Baharak,2013,4,3081.37,3003.881,2013-04-01,1.0257962948598829,1.0257962948598829
AFG,1,Badakhshan,1,Baharak,2013,5,2535.59,3003.881,2013-05-01,0.8441046765833934,0.8441046765833934
AFG,1,Badakhshan,1,Baharak,2013,6,0.0,3003.881,2013-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2013,7,2.85,3003.881,2013-07-01,0.0009487726045073025,0.0009487726045073025
AFG,1,Badakhshan,1,Baharak,2013,8,2259.3,3003.881,2013-08-01,0.7521269983731047,0.7521269983731047
AFG,1,Badakhshan,1,Baharak,2013,9,1540.88,3003.881,2013-09-01,0.5129630634502499,0.5129630634502499
AFG,1,Badakhshan,1,Baharak,2013,10,5188.53,3003.881,2013-10-01,1.72727548128571,1.72727548128571
AFG,1,Badakhshan,1,Baharak,2013,11,5710.99,3003.881,2013-11-01,1.9012038093386523,1.9012038093386523
AFG,1,Badakhshan,1,Baharak,2013,12,5496.92,3003.881,2013-12-01,1.8299393351467652,1.8299393351467652
AFG,1,Badakhshan,1,Baharak,2014,1,4614.5,3003.881,2014-01-01,1.5361793626312095,1.5361793626312095
AFG,1,Badakhshan,1,Baharak,2014,2,5096.46,3003.881,2014-02-01,1.6966251326201005,1.6966251326201005
AFG,1,Badakhshan,1,Baharak,2014,3,2972.2,3003.881,2014-03-01,0.9894533105672295,0.9894533105672295
AFG,1,Badakhshan,1,Baharak,2014,4,2094.23,3003.881,2014-04-01,0.6971747549253783,0.6971747549253783
AFG,1,Badakhshan,1,Baharak,2014,5,3388.8,3003.881,2014-05-01,1.1281405621594198,1.1281405621594198
AFG,1,Badakhshan,1,Baharak,2014,6,0.0,3003.881,2014-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2014,7,2615.27,3003.881,2014-07-01,0.870630361189408,0.870630361189408
AFG,1,Badakhshan,1,Baharak,2014,8,3331.02,3003.881,2014-08-01,1.10890544598804,1.10890544598804
AFG,1,Badakhshan,1,Baharak,2014,9,2536.07,3003.881,2014-09-01,0.8442644698641525,0.8442644698641525
AFG,1,Badakhshan,1,Baharak,2014,10,4131.91,3003.881,2014-10-01,1.375523863961322,1.375523863961322
AFG,1,Badakhshan,1,Baharak,2014,11,1427.2,3003.881,2014-11-01,0.4751186881237972,0.4751186881237972
AFG,1,Badakhshan,1,Baharak,2014,12,8964.11,3003.881,2014-12-01,2.98417613747016,2.98417613747016
AFG,1,Badakhshan,1,Baharak,2015,1,5932.84,3003.881,2015-01-01,1.9750582662895102,1.9750582662895102
AFG,1,Badakhshan,1,Baharak,2015,2,5509.0,3003.881,2015-02-01,1.833960799379203,1.833960799379203
AFG,1,Badakhshan,1,Baharak,2015,3,4901.48,3003.881,2015-03-01,1.631715770365071,1.631715770365071
AFG,1,Badakhshan,1,Baharak,2015,4,1644.27,3003.881,2015-04-01,0.5473818703204288,0.5473818703204288
AFG,1,Badakhshan,1,Baharak,2015,5,3343.68,3003.881,2015-05-01,1.113119993768062,1.113119993768062
AFG,1,Badakhshan,1,Baharak,2015,6,0.0,3003.881,2015-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2015,7,545.13,3003.881,2015-07-01,0.18147523154212833,0.18147523154212833
AFG,1,Badakhshan,1,Baharak,2015,8,858.91,3003.881,2015-08-01,0.2859334307850411,0.2859334307850411
AFG,1,Badakhshan,1,Baharak,2015,9,1471.18,3003.881,2015-09-01,0.489759747473352,0.489759747473352
AFG,1,Badakhshan,1,Baharak,2015,10,1691.02,3003.881,2015-10-01,0.5629450700610311,0.5629450700610311
AFG,1,Badakhshan,1,Baharak,2015,11,5399.7,3003.881,2015-11-01,1.7975745377396775,1.7975745377396775
AFG,1,Badakhshan,1,Baharak,2015,12,4221.36,3003.881,2015-12-01,1.4053020076361213,1.4053020076361213
AFG,1,Badakhshan,1,Baharak,2016,1,2948.45,3003.881,2016-01-01,0.9815468721963353,0.9815468721963353
AFG,1,Badakhshan,1,Baharak,2016,2,2534.31,3003.881,2016-02-01,0.8436785611680356,0.8436785611680356
AFG,1,Badakhshan,1,Baharak,2016,3,2400.01,3003.881,2016-03-01,0.7989697328223057,0.7989697328223057
AFG,1,Badakhshan,1,Baharak,2016,4,1642.48,3003.881,2016-04-01,0.5467859745442646,0.5467859745442646
AFG,1,Badakhshan,1,Baharak,2016,5,2170.59,3003.881,2016-05-01,0.7225952026728091,0.7225952026728091
AFG,1,Badakhshan,1,Baharak,2016,6,0.0,3003.881,2016-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2016,7,1403.04,3003.881,2016-07-01,0.46707575965892123,0.46707575965892123
AFG,1,Badakhshan,1,Baharak,2016,8,564.61999,3003.881,2016-08-01,0.18796350121725863,0.18796350121725863
AFG,1,Badakhshan,1,Baharak,2016,9,1850.25,3003.881,2016-09-01,0.6159531619261882,0.6159531619261882
AFG,1,Badakhshan,1,Baharak,2016,10,3936.34,3003.881,2016-10-01,1.3104180891320263,1.3104180891320263
AFG,1,Badakhshan,1,Baharak,2016,11,2531.83,3003.881,2016-11-01,0.8428529625507801,0.8428529625507801
AFG,1,Badakhshan,1,Baharak,2016,12,4969.43,3003.881,2016-12-01,1.6543365066725348,1.6543365066725348
AFG,1,Badakhshan,1,Baharak,2017,1,5998.48,3003.881,2017-01-01,1.9969099974333204,1.9969099974333204
AFG,1,Badakhshan,1,Baharak,2017,2,7362.68,3003.881,2017-02-01,2.451055817457483,2.451055817457483
AFG,1,Badakhshan,1,Baharak,2017,3,6360.17,3003.881,2017-03-01,2.1173175635120036,2.1173175635120036
AFG,1,Badakhshan,1,Baharak,2017,4,4982.8,3003.881,2017-04-01,1.6587874153470128,1.6587874153470128
AFG,1,Badakhshan,1,Baharak,2017,5,4785.11,3003.881,2017-05-01,1.5929758868610306,1.5929758868610306
AFG,1,Badakhshan,1,Baharak,2017,6,0.0,3003.881,2017-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2017,7,5000.37,3003.881,2017-07-01,1.6646365152281333,1.6646365152281333
AFG,1,Badakhshan,1,Baharak,2017,8,5495.83,3003.881,2017-08-01,1.8295764712383746,1.8295764712383746
AFG,1,Badakhshan,1,Baharak,2017,9,4836.07,3003.881,2017-09-01,1.6099406068349578,1.6099406068349578
AFG,1,Badakhshan,1,Baharak,2017,10,8036.47,3003.881,2017-10-01,2.6753623062964214,2.6753623062964214
AFG,1,Badakhshan,1,Baharak,2017,11,7034.5,3003.881,2017-11-01,2.3418038197917963,2.3418038197917963
AFG,1,Badakhshan,1,Baharak,2017,12,7611.56,3003.881,2017-12-01,2.5339086335310887,2.5339086335310887
AFG,1,Badakhshan,1,Baharak,2018,1,5067.07,3003.881,2018-01-01,1.6868411232002865,1.6868411232002865
AFG,1,Badakhshan,1,Baharak,2018,2,5167.45,3003.881,2018-02-01,1.7202578930390384,1.7202578930390384
AFG,1,Badakhshan,1,Baharak,2018,3,5741.84,3003.881,2018-03-01,1.9114738566541085,1.9114738566541085
AFG,1,Badakhshan,1,Baharak,2018,4,4771.44,3003.881,2018-04-01,1.5884251073860782,1.5884251073860782
AFG,1,Badakhshan,1,Baharak,2018,5,5732.18,3003.881,2018-05-01,1.9082580168788312,1.9082580168788312
AFG,1,Badakhshan,1,Baharak,2018,6,0.0,3003.881,2018-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2018,7,716.58,3003.881,2018-07-01,0.23855139401327818,0.23855139401327818
AFG,1,Badakhshan,1,Baharak,2018,8,4799.02,3003.881,2018-08-01,1.5976065629763632,1.5976065629763632
AFG,1,Badakhshan,1,Baharak,2018,9,4462.61,3003.881,2018-09-01,1.485614776350994,1.485614776350994
AFG,1,Badakhshan,1,Baharak,2018,10,6728.8,3003.881,2018-10-01,2.240035474108329,2.240035474108329
AFG,1,Badakhshan,1,Baharak,2018,11,8807.51,3003.881,2018-11-01,2.932043579622495,2.932043579622495
AFG,1,Badakhshan,1,Baharak,2018,12,4780.23,3003.881,2018-12-01,1.5913513218399795,1.5913513218399795
AFG,1,Badakhshan,1,Baharak,2019,1,7625.06,3003.881,2019-01-01,2.5384028195524393,2.5384028195524393
AFG,1,Badakhshan,1,Baharak,2019,2,4858.54,3003.881,2019-02-01,1.6174209297904945,1.6174209297904945
AFG,1,Badakhshan,1,Baharak,2019,3,6037.25,3003.881,2019-03-01,2.0098166338813024,2.0098166338813024
AFG,1,Badakhshan,1,Baharak,2019,4,4666.75,3003.881,2019-04-01,1.5535735270471767,1.5535735270471767
AFG,1,Badakhshan,1,Baharak,2019,5,5019.08,3003.881,2019-05-01,1.6708651241510566,1.6708651241510566
AFG,1,Badakhshan,1,Baharak,2019,6,0.0,3003.881,2019-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2019,7,3208.34,3003.881,2019-07-01,1.068064946647354,1.068064946647354
AFG,1,Badakhshan,1,Baharak,2019,8,3645.95,3003.881,2019-08-01,1.2137464832994382,1.2137464832994382
AFG,1,Badakhshan,1,Baharak,2019,9,4192.39,3003.881,2019-09-01,1.3956578173369718,1.3956578173369718
AFG,1,Badakhshan,1,Baharak,2019,10,6798.88,3003.881,2019-10-01,2.263365293099161,2.263365293099161
AFG,1,Badakhshan,1,Baharak,2019,11,7293.71,3003.881,2019-11-01,2.428095520428406,2.428095520428406
AFG,1,Badakhshan,1,Baharak,2019,12,6574.49,3003.881,2019-12-01,2.1886652633709525,2.1886652633709525
AFG,1,Badakhshan,1,Baharak,2020,1,4732.83,3003.881,2020-01-01,1.5755717353650163,1.5755717353650163
AFG,1,Badakhshan,1,Baharak,2020,2,6595.45,3003.881,2020-02-01,2.195642903297434,2.195642903297434
AFG,1,Badakhshan,1,Baharak,2020,3,5115.07,3003.881,2020-03-01,1.702820451276199,1.702820451276199
AFG,1,Badakhshan,1,Baharak,2020,4,5044.5,3003.881,2020-04-01,1.6793275099779252,1.6793275099779252
AFG,1,Badakhshan,1,Baharak,2020,5,3578.56,3003.881,2020-05-01,1.1913121724861937,1.1913121724861937
AFG,1,Badakhshan,1,Baharak,2020,6,0.0,3003.881,2020-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2020,7,4647.45,3003.881,2020-07-01,1.547148505549987,1.547148505549987
AFG,1,Badakhshan,1,Baharak,2020,8,4735.57,3003.881,2020-08-01,1.5764838886760162,1.5764838886760162
AFG,1,Badakhshan,1,Baharak,2020,9,5319.3,3003.881,2020-09-01,1.7708091632125242,1.7708091632125242
AFG,1,Badakhshan,1,Baharak,2020,10,6251.07,3003.881,2020-10-01,2.0809978824061273,2.0809978824061273
AFG,1,Badakhshan,1,Baharak,2020,11,9462.97,3003.881,2020-11-01,3.1502479625524447,3.1502479625524447
AFG,1,Badakhshan,1,Baharak,2020,12,7211.31,3003.881,2020-12-01,2.4006643405647563,2.4006643405647563
AFG,1,Badakhshan,1,Baharak,2021,1,6748.14,3003.881,2021-01-01,2.2464738117122485,2.2464738117122485
AFG,1,Badakhshan,1,Baharak,2021,2,7012.98,3003.881,2021-02-01,2.334639754371095,2.334639754371095
AFG,1,Badakhshan,1,Baharak,2021,3,5773.8,3003.881,2021-03-01,1.9221134259313204,1.9221134259313204
AFG,1,Badakhshan,1,Baharak,2021,4,5901.5,3003.881,2021-04-01,1.9646250966666123,1.9646250966666123
AFG,1,Badakhshan,1,Baharak,2021,5,6345.19,3003.881,2021-05-01,2.1123306815416454,2.1123306815416454
AFG,1,Badakhshan,1,Baharak,2021,6,0.0,3003.881,2021-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2021,7,630.6,3003.881,2021-07-01,0.2099284225973,0.2099284225973
AFG,1,Badakhshan,1,Baharak,2021,8,7338.56,3003.881,2021-08-01,2.4430262050993368,2.4430262050993368
AFG,1,Badakhshan,1,Baharak,2021,9,5029.66,3003.881,2021-09-01,1.6743872343811224,1.6743872343811224
AFG,1,Badakhshan,1,Baharak,2021,10,7881.95,3003.881,2021-10-01,2.623922185998713,2.623922185998713
AFG,1,Badakhshan,1,Baharak,2021,11,8073.86,3003.881,2021-11-01,2.6878095370622206,2.6878095370622206
AFG,1,Badakhshan,1,Baharak,2021,12,8041.84,3003.881,2021-12-01,2.677149993624914,2.677149993624914
AFG,1,,1,,2022,1,7333.6,3003.881,2022-01-01,2.441375007864826,2.441375007864826
AFG,1,,1,,2022,2,7896.04,3003.881,2022-02-01,2.62861278459433,2.62861278459433
AFG,1,,1,,2022,3,6972.49,3003.881,2022-03-01,2.3211605253337266,2.3211605253337266
AFG,1,,1,,2022,4,6865.04,3003.881,2022-04-01,2.28539013363046,2.28539013363046
AFG,1,,1,,2022,5,6556.62,3003.881,2022-05-01,2.1827162926893577,2.1827162926893577
AFG,1,,1,,2022,6,0.0,3003.881,2022-06-01,0.0,0.0
AFG,1,,1,,2022,7,0.0,3003.881,2022-07-01,0.0,0.0
AFG,1,,1,,2022,8,4068.87,3003.881,2022-08-01,1.354537679754957,1.354537679754957
AFG,1,,1,,2022,9,6609.19,3003.881,2022-09-01,2.2002169859591643,2.2002169859591643
AFG,1,,1,,2022,10,7174.81,3003.881,2022-10-01,2.3885133931736977,2.3885133931736977
AFG,1,,1,,2022,11,7511.84,3003.881,2022-11-01,2.5007115794533807,2.5007115794533807
AFG,1,,1,,2022,12,9126.86,3003.881,2022-12-01,3.0383560467275506,3.0383560467275506
AFG,1,,1,,2023,1,10468.38,3003.881,2023-01-01,3.4849516342358435,3.4172349509624165
AFG,1,,1,,2023,2,8401.77,3003.881,2023-02-01,2.7969716510074805,2.7969716510074805
AFG,1,,1,,2023,3,6755.81,3003.881,2023-03-01,2.2490271751777122,2.2490271751777122
AFG,1,,1,,2023,4,6371.14,3003.881,2023-04-01,2.120969505782686,2.120969505782686
AFG,1,,1,,2023,5,6622.23,3003.881,2023-05-01,2.20455803675312,2.20455803675312
AFG,1,,1,,2023,6,0.0,3003.881,2023-06-01,0.0,0.0
AFG,1,,1,,2023,7,5312.53,3003.881,2023-07-01,1.7685554121484839,1.7685554121484839
AFG,1,,1,,2023,8,7180.39,3003.881,2023-08-01,2.3903709900625225,2.3903709900625225
AFG,1,,1,,2023,9,7245.28,3003.881,2023-09-01,2.411973044205147,2.411973044205147
AFG,1,,1,,2023,10,7651.46,3003.881,2023-10-01,2.547191449994191,2.547191449994191
AFG,1,,1,,2023,11,9436.69,3003.881,2023-11-01,3.141499280430883,3.141499280430883
AFG,1,,1,,2023,12,8457.1,3003.881,2023-12-01,2.815391155641652,2.815391155641652
AFG,1,,1,,2024,1,9463.59,3003.881,2024-01-01,3.1504543622067587,3.1504543622067587
AFG,1,,1,,2024,2,8403.47,3003.881,2024-02-01,2.797537585543502,2.797537585543502
AFG,1,,1,,2024,3,10263.75,3003.881,2024-03-01,3.4168297612322194,3.4168297612322194
AFG,1,,1,,2024,4,7605.22,3003.881,2024-04-01,2.5317980306143952,2.5317980306143952
AFG,1,,1,,2024,5,5745.16,3003.881,2024-05-01,1.9125790935126925,1.9125790935126925
AFG,1,Badakhshan,2,Darwaz,2013,1,4548.62,2920.605,2013-01-01,1.55742388991322,1.55742388991322
AFG,1,Badakhshan,2,Darwaz,2013,2,2869.73,2920.605,2013-02-01,0.98258066393778,0.98258066393778
AFG,1,Badakhshan,2,Darwaz,2013,3,6489.46,2920.605,2013-03-01,2.221957436900916,2.221957436900916
AFG,1,Badakhshan,2,Darwaz,2013,4,2853.6,2920.605,2013-04-01,0.9770578356196746,0.9770578356196746
AFG,1,Badakhshan,2,Darwaz,2013,5,2610.71,2920.605,2013-05-01,0.893893559724783,0.893893559724783
AFG,1,Badakhshan,2,Darwaz,2013,6,0.0,2920.605,2013-06-01,0.0,0.0
AFG,1,Badakhshan,2,Darwaz,2013,7,0.0,2920.605,2013-07-01,0.0,0.0
AFG,1,Badakhshan,2,Darwaz,2013,8,1703.17,2920.605,2013-08-01,0.5831565720116209,0.5831565720116209
AFG,1,Badakhshan,2,Darwaz,2013,9,1212.17,2920.605,2013-09-01,0.41504071930302117,0.41504071930302117
AFG,1,Badakhshan,2,Darwaz,2013,10,4649.68,2920.605,2013-10-01,1.5920263096173568,1.5920263096173568
AFG,1,Badakhshan,2,Darwaz,2013,11,5250.56,2920.605,2013-11-01,1.7977645042722314,1.7977645042722314
AFG,1,Badakhshan,2,Darwaz,2013,12,5099.42,2920.605,2013-12-01,1.7460149523814414,1.7460149523814414
AFG,1,Badakhshan,2,Darwaz,2014,1,4726.2,2920.605,2014-01-01,1.6182263606341836,1.6182263606341836
AFG,1,Badakhshan,2,Darwaz,2014,2,5475.56,2920.605,2014-02-01,1.8748033369798383,1.8748033369798383
AFG,1,Badakhshan,2,Darwaz,2014,3,3826.66,2920.605,2014-03-01,1.310228531417292,1.310228531417292
AFG,1,Badakhshan,2,Darwaz,2014,4,1590.25,2920.605,2014-04-01,0.5444933498367632,0.5444933498367632
AFG,1,Badakhshan,2,Darwaz,2014,5,3068.63,2920.605,2014-05-01,1.0506829920513046,1.0506829920513046
AFG,1,Badakhshan,2,Darwaz,2014,6,0.0,2920.605,2014-06-01,0.0,0.0
AFG,1,Badakhshan,2,Darwaz,2014,7,539.74,2920.605,2014-07-01,0.18480417584712758,0.18480417584712758
AFG,1,Badakhshan,2,Darwaz,2014,8,3310.31,2920.605,2014-08-01,1.1334329702236352,1.1334329702236352
AFG,1,Badakhshan,2,Darwaz,2014,9,2282.93,2920.605,2014-09-01,0.7816633882363414,0.7816633882363414
AFG,1,Badakhshan,2,Darwaz,2014,10,4306.01,2920.605,2014-10-01,1.4743554845656979,1.4743554845656979
AFG,1,Badakhshan,2,Darwaz,2014,11,1788.47,2920.605,2014-11-01,0.6123628494781047,0.6123628494781047
AFG,1,Badakhshan,2,Darwaz,2014,12,10097.55,2920.605,2014-12-01,3.4573487342519784,3.4172349509624165
AFG,1,Badakhshan,2,Darwaz,2015,1,6592.97,2920.605,2015-01-01,2.2573987238945357,2.2573987238945357
AFG,1,Badakhshan,2,Darwaz,2015,2,5574.99,2920.605,2015-02-01,1.9088476531403595,1.9088476531403595
AFG,1,Badakhshan,2,Darwaz,2015,3,4693.25,2920.605,2015-03-01,1.6069444515776696,1.6069444515776696
AFG,1,Badakhshan,2,Darwaz,2015,4,2255.68,2920.605,2015-04-01,0.7723331296084202,0.7723331296084202
AFG,1,Badakhshan,2,Darwaz,2015,5,0.0,2920.605,2015-05-01,0.0,0.0
AFG,1,Badakhshan,2,Darwaz,2015,6,0.0,2920.605,2015-06-01,0.0,0.0
AFG,1,Badakhshan,2,Darwaz,2015,7,0.0,2920.605,2015-07-01,0.0,0.0
AFG,1,Badakhshan,2,Darwaz,2015,8,916.4,2920.605,2015-08-01,0.3137706057477817,0.3137706057477817
AFG,1,Badakhshan,2,Darwaz,2015,9,1094.61,2920.605,2015-09-01,0.3747887852003266,0.3747887852003266
AFG,1,Badakhshan,2,Darwaz,2015,10,1509.38,2920.605,2015-10-01,0.5168038813875893,0.5168038813875893
AFG,1,Badakhshan,2,Darwaz,2015,11,5826.99,2920.605,2015-11-01,1.995131145772879,1.995131145772879
AFG,1,Badakhshan,2,Darwaz,2015,12,4028.17,2920.605,2015-12-01,1.3792245099902247,1.3792245099902247
AFG,1,Badakhshan,2,Darwaz,2016,1,2850.28,2920.605,2016-01-01,0.9759210848437225,0.9759210848437225
AFG,1,Badakhshan,2,Darwaz,2016,2,3143.94,2920.605,2016-02-01,1.0764687453455706,1.0764687453455706
AFG,1,Badakhshan,2,Darwaz,2016,3,2437.78,2920.605,2016-03-01,0.8346832248797766,0.8346832248797766
AFG,1,Badakhshan,2,Darwaz,2016,4,1539.67,2920.605,2016-04-01,0.5271750202440932,0.5271750202440932
AFG,1,Badakhshan,2,Darwaz,2016,5,2238.87,2920.605,2016-05-01,0.7665774728181318,0.7665774728181318
AFG,1,Badakhshan,2,Darwaz,2016,6,0.0,2920.605,2016-06-01,0.0,0.0
AFG,1,Badakhshan,2,Darwaz,2016,7,1663.12,2920.605,2016-07-01,0.5694436597896668,0.5694436597896668
AFG,1,Badakhshan,2,Darwaz,2016,8,536.01999,2920.605,2016-08-01,0.1835304637224137,0.1835304637224137
AFG,1,Badakhshan,2,Darwaz,2016,9,1709.37,2920.605,2016-09-01,0.5852794198462304,0.5852794198462304
AFG,1,Badakhshan,2,Darwaz,2016,10,4054.1,2920.605,2016-10-01,1.3881028074662611,1.3881028074662611
AFG,1,Badakhshan,2,Darwaz,2016,11,3365.94,2920.605,2016-11-01,1.152480393617076,1.152480393617076
AFG,1,Badakhshan,2,Darwaz,2016,12,5764.68,2920.605,2016-12-01,1.9737965250350527,1.9737965250350527
AFG,1,Badakhshan,2,Darwaz,2017,1,7622.54,2920.605,2017-01-01,2.6099181505201834,2.6099181505201834
AFG,1,Badakhshan,2,Darwaz,2017,2,7372.94,2920.605,2017-02-01,2.5244564054365446,2.5244564054365446
AFG,1,Badakhshan,2,Darwaz,2017,3,6894.96,2920.605,2017-03-01,2.3607985331806254,2.3607985331806254
AFG,1,Badakhshan,2,Darwaz,2017,4,4692.46,2920.605,2017-04-01,1.606673959676163,1.606673959676163
AFG,1,Badakhshan,2,Darwaz,2017,5,3837.0,2920.605,2017-05-01,1.3137688937737215,1.3137688937737215
AFG,1,Badakhshan,2,Darwaz,2017,6,0.0,2920.605,2017-06-01,0.0,0.0
AFG,1,Badakhshan,2,Darwaz,2017,7,5293.73,2920.605,2017-07-01,1.8125456883077307,1.8125456883077307
AFG,1,Badakhshan,2,Darwaz,2017,8,5372.04,2920.605,2017-08-01,1.8393586260380983,1.8393586260380983
AFG,1,Badakhshan,2,Darwaz,2017,9,4508.67,2920.605,2017-09-01,1.5437452171724695,1.5437452171724695
AFG,1,Badakhshan,2,Darwaz,2017,10,7660.18,2920.605,2017-10-01,2.622805891245136,2.622805891245136
AFG,1,Badakhshan,2,Darwaz,2017,11,7107.69,2920.605,2017-11-01,2.433636181544577,2.433636181544577
AFG,1,Badakhshan,2,Darwaz,2017,12,6830.31,2920.605,2017-12-01,2.3386627085826395,2.3386627085826395
AFG,1,Badakhshan,2,Darwaz,2018,1,5346.38,2920.605,2018-01-01,1.8305727751613108,1.8305727751613108
AFG,1,Badakhshan,2,Darwaz,2018,2,5325.82,2920.605,2018-02-01,1.8235331378258957,1.8235331378258957
AFG,1,Badakhshan,2,Darwaz,2018,3,5848.44,2920.605,2018-03-01,2.0024755144910045,2.0024755144910045
